日期,天气状况,风力风向(夜间/白天),最高温度,最低温度,风力,天气
2023年07月01日,晴  /多云,南风 3-4级  /南风 1-2级,25,39,2.5,0102
2023年07月02日,多云  /多云,南风 1-2级  /东南风 1-2级,24,36,1.5,0202
2023年07月03日,阴  /小雨,东南风 1-2级  /东南风 1-2级,23,34,1.5,0311
2023年07月04日,小雨  /晴,北风 1-2级  /南风 1-2级,21,32,1.5,1101
2023年07月05日,晴  /晴,西南风 1-2级  /北风 1-2级,23,39,1.5,0101
2023年07月06日,晴  /晴,南风 3-4级  /东南风 1-2级,24,40,2.5,0101
2023年07月07日,多云  /多云,西北风 3-4级  /北风 1-2级,23,37,2.5,0202
2023年07月08日,晴  /晴,西北风 3-4级  /北风 1-2级,24,37,2.5,0101
2023年07月09日,晴  /晴,北风 1-2级  /西风 1-2级,25,37,1.5,0101
2023年07月10日,晴  /小雨,南风 1-2级  /东北风 1-2级,24,39,1.5,0111
2023年07月11日,阴  /小雨,东南风 1-2级  /东南风 1-2级,24,35,1.5,0311
2023年07月12日,小雨  /小雨,东北风 1-2级  /东北风 1-2级,21,26,1.5,1111
2023年07月13日,小雨  /多云,东北风 1-2级  /西南风 1-2级,22,26,1.5,1102
2023年07月14日,晴  /晴,西北风 3-4级  /北风 1-2级,23,35,2.5,0101
2023年07月15日,晴  /晴,北风 3-4级  /北风 1-2级,23,32,2.5,0101
2023年07月16日,晴  /晴,北风 1-2级  /西南风 1-2级,21,33,1.5,0101
2023年07月17日,晴  /晴,南风 1-2级  /南风 1-2级,23,35,1.5,0101
2023年07月18日,晴  /晴,北风 1-2级  /北风 1-2级,24,36,1.5,0101
2023年07月19日,晴  /晴,北风 1-2级  /北风 1-2级,25,36,1.5,0101
2023年07月20日,多云  /雷阵雨,北风 1-2级  /北风 1-2级,24,36,1.5,0217
2023年07月21日,中雨  /中雨,北风 1-2级  /北风 1-2级,22,26,1.5,1212
2023年07月22日,小雨  /多云,北风 1-2级  /北风 1-2级,22,30,1.5,1102
2023年07月23日,多云  /多云,北风 1-2级  /北风 1-2级,24,33,1.5,0202
2023年07月24日,雷阵雨  /多云,北风 1-2级  /北风 1-2级,24,34,1.5,1702
2023年07月25日,多云  /雷阵雨,北风 1-2级  /北风 1-2级,24,33,1.5,0217
2023年07月26日,雷阵雨  /雷阵雨,北风 1-2级  /北风 1-2级,25,33,1.5,1717
2023年07月27日,小雨  /小雨,南风 1-2级  /东南风 1-2级,24,33,1.5,1111
2023年07月28日,阴  /小雨,北风 1-2级  /北风 1-2级,24,30,1.5,0311
2023年07月29日,小雨  /大雨,东风 1-2级  /东北风 1-2级,23,30,1.5,1113
2023年07月30日,暴雨  /暴雨,东风 3-4级  /东风 3-4级,23,25,3.5,1414
2023年07月31日,暴雨  /大雨,东风 3-4级  /东南风 1-2级,24,26,2.5,1413
2023年08月01日,雷阵雨  /雷阵雨,北风 1-2级  /北风 1-2级,25,29,1.5,1717
2023年08月02日,多云  /晴,西南风 1-2级  /西南风 1-2级,26,33,1.5,0201
2023年08月03日,多云  /小雨,西南风 1-2级  /南风 1-2级,26,33,1.5,0211
2023年08月04日,小雨  /阴,西北风 1-2级  /东北风 1-2级,26,31,1.5,1103
2023年08月05日,小雨  /小雨,东南风 1-2级  /东南风 1-2级,25,33,1.5,1111
2023年08月06日,多云  /多云,东南风 1-2级  /东南风 1-2级,24,31,1.5,0202
2023年08月07日,多云  /多云,南风 1-2级  /北风 1-2级,23,28,1.5,0202
2023年08月08日,小雨  /多云,南风 1-2级  /南风 1-2级,24,30,1.5,1102
2023年08月09日,多云  /阴,南风 1-2级  /东风 1-2级,24,31,1.5,0203
2023年08月10日,阴  /多云,西风 1-2级  /东风 1-2级,23,30,1.5,0302
2023年08月11日,小雨  /中雨,西风 1-2级  /东北风 1-2级,23,31,1.5,1112
2023年08月12日,多云  /多云,东北风 1-2级  /西风 1-2级,22,31,1.5,0202
2023年08月13日,晴  /晴,西南风 1-2级  /西南风 1-2级,23,34,1.5,0101
2023年08月14日,晴  /晴,西南风 1-2级  /西南风 1-2级,24,34,1.5,0101
2023年08月15日,多云  /多云,西南风 1-2级  /西南风 1-2级,24,34,1.5,0202
2023年08月16日,多云  /多云,南风 1-2级  /东风 1-2级,24,34,1.5,0202
2023年08月17日,小雨  /小雨,西南风 1-2级  /北风 1-2级,25,33,1.5,1111
2023年08月18日,晴  /多云,南风 1-2级  /南风 1-2级,24,34,1.5,0102
2023年08月19日,晴  /多云,南风 微风级  /南风 微风级,23,33,0.0,0102
2023年08月20日,小雨  /小雨,东南风 微风级  /东南风 微风级,23,32,0.0,1111
2023年08月21日,小雨  /多云,西南风 微风级  /北风 微风级,22,31,0.0,1102
2023年08月22日,晴  /晴,北风 微风级  /北风 微风级,20,32,0.0,0101
2023年08月23日,多云  /小雨,南风 1-3级  /北风 1-3级,20,30,2.0,0211
2023年08月24日,小雨  /多云,北风 1-3级  /北风 1-3级,18,23,2.0,1102
2023年08月25日,多云  /多云,北风 1-3级  /北风 1-3级,21,29,2.0,0202
2023年08月26日,阴  /雷阵雨,北风 1-3级  /北风 1-3级,20,26,2.0,0317
2023年08月27日,雷阵雨  /晴,北风 1-3级  /北风 1-3级,19,26,2.0,1701
2023年08月28日,晴  /晴,北风 1-3级  /北风 1-3级,19,30,2.0,0101
2023年08月29日,晴  /晴,北风 1-3级  /北风 1-3级,18,30,2.0,0101
2023年08月30日,多云  /多云,北风 1-3级  /北风 1-3级,19,29,2.0,0202
2023年08月31日,晴  /晴,东北风 1-3级  /东北风 1-3级,19,29,2.0,0101
2023年09月01日,多云  /多云,西南风 1-3级  /西南风 1-3级,20,30,2.0,0202
2023年09月02日,小雨  /小雨,北风 1-3级  /北风 1-3级,20,28,2.0,1111
2023年09月03日,多云  /多云,东风 1-3级  /北风 1-3级,21,30,2.0,0202
2023年09月04日,晴  /多云,西南风 1-3级  /东南风 1-3级,22,32,2.0,0102
2023年09月05日,多云  /晴,南风 1-3级  /南风 1-3级,23,30,2.0,0201
2023年09月06日,多云  /晴,南风 1-3级  /南风 1-3级,22,32,2.0,0201
2023年09月07日,多云  /阴,北风 1-3级  /北风 1-3级,23,32,2.0,0203
2023年09月08日,雷阵雨  /中雨,北风 1-3级  /北风 1-3级,22,28,2.0,1712
2023年09月09日,中雨  /小雨,东北风 1-3级  /东北风 1-3级,20,23,2.0,1211
2023年09月10日,阴  /多云,北风 1-3级  /北风 1-3级,20,26,2.0,0302
2023年09月11日,小雨  /多云,西南风 1-3级  /北风 1-3级,19,29,2.0,1102
