,日期,小时,单量
0,20230801,9,2
1,20230801,10,13
2,20230801,11,20
3,20230801,12,23
4,20230801,13,13
5,20230801,14,18
6,20230801,15,10
7,20230801,16,23
8,20230801,17,18
9,20230801,18,31
10,20230801,19,28
11,20230801,20,24
12,20230801,21,29
13,20230801,22,25
14,20230801,23,28
15,20230802,0,24
16,20230802,1,7
17,20230802,2,7
18,20230802,3,4
19,20230802,4,4
20,20230802,5,7
21,20230802,6,5
22,20230802,7,11
23,20230802,8,6
24,20230802,9,14
25,20230802,10,17
26,20230802,11,12
27,20230802,12,19
28,20230802,13,15
29,20230802,14,13
30,20230802,15,5
31,20230802,16,12
32,20230802,17,12
33,20230802,18,20
34,20230802,19,23
35,20230802,20,21
36,20230802,21,26
37,20230802,22,25
38,20230802,23,22
39,20230803,0,18
40,20230803,1,11
41,20230803,2,7
42,20230803,3,7
43,20230803,4,1
44,20230803,5,1
45,20230803,6,3
46,20230803,7,3
47,20230803,8,10
48,20230803,9,10
49,20230803,10,13
50,20230803,11,12
51,20230803,12,18
52,20230803,13,19
53,20230803,14,14
54,20230803,15,18
55,20230803,16,11
56,20230803,17,18
57,20230803,18,22
58,20230803,19,19
59,20230803,20,26
60,20230803,21,41
61,20230803,22,25
62,20230803,23,17
63,20230804,0,17
64,20230804,1,10
65,20230804,2,13
66,20230804,3,5
67,20230804,4,3
68,20230804,5,8
69,20230804,6,3
70,20230804,7,3
71,20230804,8,10
72,20230804,9,16
73,20230804,10,22
74,20230804,11,24
75,20230804,12,16
76,20230804,13,18
77,20230804,14,21
78,20230804,15,23
79,20230804,16,17
80,20230804,17,22
81,20230804,18,27
82,20230804,19,25
83,20230804,20,33
84,20230804,21,30
85,20230804,22,38
86,20230804,23,31
87,20230805,0,15
88,20230805,1,15
89,20230805,2,6
90,20230805,3,6
91,20230805,4,3
92,20230805,5,3
93,20230805,6,5
94,20230805,7,7
95,20230805,8,10
96,20230805,9,24
97,20230805,10,22
98,20230805,11,27
99,20230805,12,33
100,20230805,13,20
101,20230805,14,22
102,20230805,15,24
103,20230805,16,18
104,20230805,17,15
105,20230805,18,20
106,20230805,19,17
107,20230805,20,22
108,20230805,21,21
109,20230805,22,32
110,20230805,23,24
111,20230806,0,7
112,20230806,1,9
113,20230806,2,4
114,20230806,3,5
115,20230806,4,3
116,20230806,5,2
117,20230806,6,1
118,20230806,7,5
119,20230806,8,14
120,20230806,9,10
121,20230806,10,17
122,20230806,11,15
123,20230806,12,16
124,20230806,13,19
125,20230806,14,27
126,20230806,15,18
127,20230806,16,15
128,20230806,17,20
129,20230806,18,22
130,20230806,19,23
131,20230806,20,25
132,20230806,21,25
133,20230806,22,20
134,20230806,23,22
135,20230807,0,9
136,20230807,1,9
137,20230807,2,6
138,20230807,3,1
139,20230807,4,5
140,20230807,5,4
141,20230807,6,1
142,20230807,7,2
143,20230807,8,8
144,20230807,9,8
145,20230807,10,11
146,20230807,11,15
147,20230807,12,11
148,20230807,13,13
149,20230807,14,15
150,20230807,15,18
151,20230807,16,14
152,20230807,17,13
153,20230807,18,23
154,20230807,19,19
155,20230807,20,29
156,20230807,21,23
157,20230807,22,26
158,20230807,23,18
159,20230808,0,19
160,20230808,1,9
161,20230808,2,4
162,20230808,3,1
163,20230808,5,2
164,20230808,6,2
165,20230808,7,1
166,20230808,8,10
167,20230808,9,8
168,20230808,10,10
169,20230808,11,19
170,20230808,12,10
171,20230808,13,13
172,20230808,14,19
173,20230808,15,14
174,20230808,16,16
175,20230808,17,13
176,20230808,18,16
177,20230808,19,20
178,20230808,20,23
179,20230808,21,26
180,20230808,22,27
181,20230808,23,29
182,20230809,0,12
183,20230809,1,11
184,20230809,2,7
185,20230809,3,1
186,20230809,4,2
187,20230809,5,5
188,20230809,6,6
189,20230809,7,9
190,20230809,8,8
191,20230809,9,16
192,20230809,10,13
193,20230809,11,10
194,20230809,12,10
195,20230809,13,14
196,20230809,14,11
197,20230809,15,17
198,20230809,16,24
199,20230809,17,16
200,20230809,18,18
201,20230809,19,19
202,20230809,20,22
203,20230809,21,31
204,20230809,22,24
205,20230809,23,16
206,20230810,0,8
207,20230810,1,4
208,20230810,2,7
209,20230810,3,6
210,20230810,4,4
211,20230810,5,4
212,20230810,6,3
213,20230810,7,3
214,20230810,8,8
215,20230810,9,4
216,20230810,10,13
217,20230810,11,7
218,20230810,12,8
219,20230810,13,8
220,20230810,14,15
221,20230810,15,9
222,20230810,16,16
223,20230810,17,12
224,20230810,18,21
225,20230810,19,36
226,20230810,20,33
227,20230810,21,40
228,20230810,22,27
229,20230810,23,11
230,20230811,0,8
231,20230811,1,6
232,20230811,2,8
233,20230811,3,4
234,20230811,4,4
235,20230811,5,2
236,20230811,6,4
237,20230811,7,4
238,20230811,8,11
239,20230811,9,13
240,20230811,10,10
241,20230811,11,18
242,20230811,12,10
243,20230811,13,9
244,20230811,14,16
245,20230811,15,19
246,20230811,16,13
247,20230811,17,14
248,20230811,18,17
249,20230811,19,25
250,20230811,20,23
251,20230811,21,27
252,20230811,22,26
253,20230811,23,26
254,20230812,0,7
255,20230812,1,12
256,20230812,2,3
257,20230812,3,6
258,20230812,4,8
259,20230812,5,6
260,20230812,6,3
261,20230812,7,6
262,20230812,8,13
263,20230812,9,12
264,20230812,10,19
265,20230812,11,22
266,20230812,12,25
267,20230812,13,17
268,20230812,14,21
269,20230812,15,21
270,20230812,16,19
271,20230812,17,18
272,20230812,18,22
273,20230812,19,23
274,20230812,20,19
275,20230812,21,39
276,20230812,22,26
277,20230812,23,37
278,20230813,0,15
279,20230813,1,7
280,20230813,2,6
281,20230813,3,4
282,20230813,4,6
283,20230813,5,7
284,20230813,6,1
285,20230813,7,9
286,20230813,8,8
287,20230813,9,8
288,20230813,10,21
289,20230813,11,23
290,20230813,12,16
291,20230813,13,22
292,20230813,14,24
293,20230813,15,17
294,20230813,16,29
295,20230813,17,24
296,20230813,18,25
297,20230813,19,19
298,20230813,20,36
299,20230813,21,14
300,20230813,22,13
301,20230813,23,21
302,20230814,0,20
303,20230814,1,13
304,20230814,2,6
305,20230814,3,7
306,20230814,4,3
307,20230814,5,2
308,20230814,6,3
309,20230814,7,4
310,20230814,8,10
311,20230814,9,17
312,20230814,10,20
313,20230814,11,11
314,20230814,12,16
315,20230814,13,7
316,20230814,14,11
317,20230814,15,10
318,20230814,16,5
319,20230814,17,13
320,20230814,18,17
321,20230814,19,21
322,20230814,20,20
323,20230814,21,28
324,20230814,22,15
325,20230814,23,18
326,20230815,0,9
327,20230815,1,4
328,20230815,2,7
329,20230815,3,8
330,20230815,4,3
331,20230815,5,1
332,20230815,6,8
333,20230815,7,3
334,20230815,8,6
335,20230815,9,11
336,20230815,10,16
337,20230815,11,17
338,20230815,12,11
339,20230815,13,15
340,20230815,14,16
341,20230815,15,18
342,20230815,16,8
343,20230815,17,11
344,20230815,18,17
345,20230815,19,20
346,20230815,20,22
347,20230815,21,29
348,20230815,22,31
349,20230815,23,38
350,20230816,0,19
351,20230816,1,8
352,20230816,2,8
353,20230816,3,1
354,20230816,4,4
355,20230816,5,1
356,20230816,6,5
357,20230816,7,8
358,20230816,8,11
359,20230816,9,24
360,20230816,10,20
361,20230816,11,21
362,20230816,12,18
363,20230816,13,20
364,20230816,14,20
365,20230816,15,18
366,20230816,16,11
367,20230816,17,20
368,20230816,18,20
369,20230816,19,31
370,20230816,20,28
371,20230816,21,30
372,20230816,22,33
373,20230816,23,18
374,20230817,0,14
375,20230817,1,8
376,20230817,3,5
377,20230817,4,3
378,20230817,5,2
379,20230817,6,7
380,20230817,7,9
381,20230817,8,10
382,20230817,9,14
383,20230817,10,19
384,20230817,11,22
385,20230817,12,17
386,20230817,13,16
387,20230817,14,15
388,20230817,15,15
389,20230817,16,10
390,20230817,17,13
391,20230817,18,18
392,20230817,19,23
393,20230817,20,31
394,20230817,21,22
395,20230817,22,20
396,20230817,23,20
397,20230818,0,11
398,20230818,1,10
399,20230818,2,9
400,20230818,3,1
401,20230818,4,2
402,20230818,5,3
403,20230818,6,3
404,20230818,7,7
405,20230818,8,7
406,20230818,9,11
407,20230818,10,17
408,20230818,11,24
409,20230818,12,14
410,20230818,13,15
411,20230818,14,13
412,20230818,15,15
413,20230818,16,18
414,20230818,17,15
415,20230818,18,15
416,20230818,19,31
417,20230818,20,28
418,20230818,21,30
419,20230818,22,19
420,20230818,23,18
421,20230819,0,16
422,20230819,1,16
423,20230819,2,7
424,20230819,3,5
425,20230819,4,3
426,20230819,5,3
427,20230819,6,8
428,20230819,7,5
429,20230819,8,14
430,20230819,9,19
431,20230819,10,22
432,20230819,11,18
433,20230819,12,25
434,20230819,13,21
435,20230819,14,23
436,20230819,15,32
437,20230819,16,25
438,20230819,17,20
439,20230819,18,19
440,20230819,19,22
441,20230819,20,25
442,20230819,21,21
443,20230819,22,23
444,20230819,23,22
445,20230820,0,19
446,20230820,1,5
447,20230820,2,3
448,20230820,3,2
449,20230820,4,4
450,20230820,5,6
451,20230820,6,3
452,20230820,7,6
453,20230820,8,10
454,20230820,9,20
455,20230820,10,18
456,20230820,11,22
457,20230820,12,21
458,20230820,13,22
459,20230820,14,16
460,20230820,15,13
461,20230820,16,19
462,20230820,17,22
463,20230820,18,22
464,20230820,19,20
465,20230820,20,24
466,20230820,21,22
467,20230820,22,21
468,20230820,23,21
469,20230821,0,10
470,20230821,1,12
471,20230821,2,7
472,20230821,3,4
473,20230821,5,3
474,20230821,6,1
475,20230821,7,2
476,20230821,8,6
477,20230821,9,19
478,20230821,10,22
479,20230821,11,25
480,20230821,12,14
481,20230821,13,22
482,20230821,14,11
483,20230821,15,20
484,20230821,16,15
485,20230821,17,17
486,20230821,18,20
487,20230821,19,21
488,20230821,20,22
489,20230821,21,29
490,20230821,22,24
491,20230821,23,26
492,20230822,0,13
493,20230822,1,9
494,20230822,2,9
495,20230822,3,7
496,20230822,4,5
497,20230822,5,4
498,20230822,6,3
499,20230822,7,7
500,20230822,8,10
501,20230822,9,12
502,20230822,10,23
503,20230822,11,17
504,20230822,12,19
505,20230822,13,20
506,20230822,14,18
507,20230822,15,19
508,20230822,16,15
509,20230822,17,16
510,20230822,18,20
511,20230822,19,32
512,20230822,20,37
513,20230822,21,30
514,20230822,22,28
515,20230822,23,15
516,20230823,0,20
517,20230823,1,10
518,20230823,2,7
519,20230823,3,4
520,20230823,4,4
521,20230823,5,6
522,20230823,6,7
523,20230823,7,18
524,20230823,8,7
525,20230823,9,24
526,20230823,10,29
527,20230823,11,20
528,20230823,12,25
529,20230823,13,20
530,20230823,14,25
531,20230823,15,16
532,20230823,16,20
533,20230823,17,21
534,20230823,18,28
535,20230823,19,18
536,20230823,20,23
537,20230823,21,25
538,20230823,22,28
539,20230823,23,26
540,20230824,0,16
541,20230824,1,10
542,20230824,2,7
543,20230824,3,3
544,20230824,4,4
545,20230824,5,1
546,20230824,6,4
547,20230824,7,4
548,20230824,8,7
549,20230824,9,14
550,20230824,10,15
551,20230824,11,18
552,20230824,12,16
553,20230824,13,12
554,20230824,14,15
555,20230824,15,12
556,20230824,16,18
557,20230824,17,19
558,20230824,18,22
559,20230824,19,36
560,20230824,20,24
561,20230824,21,31
562,20230824,22,29
563,20230824,23,28
564,20230825,0,12
565,20230825,1,10
566,20230825,2,2
567,20230825,3,2
568,20230825,4,2
569,20230825,5,5
570,20230825,6,2
571,20230825,7,3
572,20230825,8,12
573,20230825,9,14
574,20230825,10,26
575,20230825,11,14
576,20230825,12,11
577,20230825,13,19
578,20230825,14,22
579,20230825,15,24
580,20230825,16,18
581,20230825,17,15
582,20230825,18,20
583,20230825,19,23
584,20230825,20,23
585,20230825,21,57
586,20230825,22,45
587,20230825,23,33
588,20230826,0,34
589,20230826,1,17
590,20230826,2,11
591,20230826,3,4
592,20230826,4,3
593,20230826,5,4
594,20230826,6,6
595,20230826,7,7
596,20230826,8,12
597,20230826,9,15
598,20230826,10,23
599,20230826,11,20
600,20230826,12,21
601,20230826,13,24
602,20230826,14,26
603,20230826,15,32
604,20230826,16,19
605,20230826,17,11
606,20230826,18,23
607,20230826,19,24
608,20230826,20,16
609,20230826,21,22
610,20230826,22,25
611,20230826,23,13
612,20230827,0,20
613,20230827,1,8
614,20230827,2,8
615,20230827,3,1
616,20230827,4,2
617,20230827,5,3
618,20230827,6,4
619,20230827,7,3
620,20230827,8,4
621,20230827,9,13
622,20230827,10,21
623,20230827,11,18
624,20230827,12,20
625,20230827,13,17
626,20230827,14,17
627,20230827,15,14
628,20230827,16,17
629,20230827,17,28
630,20230827,18,18
631,20230827,19,21
632,20230827,20,38
633,20230827,21,20
634,20230827,22,26
635,20230827,23,28
636,20230828,0,11
637,20230828,1,15
638,20230828,2,5
639,20230828,3,4
640,20230828,4,3
641,20230828,5,7
642,20230828,6,4
643,20230828,7,4
644,20230828,8,3
645,20230828,9,11
646,20230828,10,16
647,20230828,11,15
648,20230828,12,13
649,20230828,13,9
650,20230828,14,18
651,20230828,15,15
652,20230828,16,16
653,20230828,17,14
654,20230828,18,22
655,20230828,19,21
656,20230828,20,29
657,20230828,21,25
658,20230828,22,18
659,20230828,23,26
660,20230829,0,13
661,20230829,1,12
662,20230829,2,4
663,20230829,3,5
664,20230829,4,6
665,20230829,5,6
666,20230829,6,2
667,20230829,7,5
668,20230829,8,6
669,20230829,9,16
670,20230829,10,17
671,20230829,11,17
672,20230829,12,13
673,20230829,13,10
674,20230829,14,12
675,20230829,15,24
676,20230829,16,18
677,20230829,17,25
678,20230829,18,27
679,20230829,19,27
680,20230829,20,28
681,20230829,21,27
682,20230829,22,33
683,20230829,23,41
684,20230830,0,17
685,20230830,1,9
686,20230830,2,4
687,20230830,3,2
688,20230830,4,4
689,20230830,5,2
690,20230830,6,7
691,20230830,7,4
692,20230830,8,11
693,20230830,9,14
694,20230830,10,15
695,20230830,11,21
696,20230830,12,12
697,20230830,13,18
698,20230830,14,9
699,20230830,15,10
700,20230830,16,12
701,20230830,17,21
702,20230830,18,27
703,20230830,19,29
704,20230830,20,25
705,20230830,21,24
706,20230830,22,22
707,20230830,23,27
708,20230831,0,21
709,20230831,1,9
710,20230831,2,11
711,20230831,3,7
712,20230831,4,3
713,20230831,5,3
714,20230831,6,4
715,20230831,7,7
716,20230831,8,12
717,20230831,9,13
718,20230831,10,14
719,20230831,11,10
720,20230831,12,14
721,20230831,13,15
722,20230831,14,21
723,20230831,15,16
724,20230831,16,15
725,20230831,17,18
726,20230831,18,28
727,20230831,19,32
728,20230831,20,36
729,20230831,21,40
730,20230831,22,30
731,20230831,23,31
732,20230901,0,17
733,20230901,1,11
734,20230901,2,9
735,20230901,3,7
736,20230901,4,4
737,20230901,5,4
738,20230901,6,6
739,20230901,7,13
740,20230901,8,11
741,20230901,9,15
742,20230901,10,9
743,20230901,11,33
744,20230901,12,49
745,20230901,13,35
746,20230901,14,19
747,20230901,15,63
748,20230901,16,65
749,20230901,17,18
750,20230901,18,13
751,20230902,8,2
752,20230902,9,11
753,20230902,10,14
754,20230902,11,12
755,20230902,12,14
756,20230902,13,18
757,20230902,14,15
758,20230902,15,20
759,20230902,16,19
760,20230902,17,21
761,20230902,18,23
762,20230902,19,16
763,20230902,20,30
764,20230902,21,13
765,20230902,22,16
766,20230902,23,18
767,20230903,0,11
768,20230903,1,10
769,20230903,2,5
770,20230903,3,9
771,20230903,4,2
772,20230903,5,1
773,20230903,6,2
774,20230903,7,6
775,20230903,8,7
776,20230903,9,4
777,20230903,10,13
778,20230903,11,9
779,20230903,12,9
780,20230903,13,13
781,20230903,14,13
782,20230903,15,12
783,20230903,16,16
784,20230903,17,20
785,20230903,18,18
786,20230903,19,20
787,20230903,20,21
788,20230903,21,28
789,20230903,22,20
790,20230903,23,20
791,20230904,0,15
792,20230904,1,10
793,20230904,2,7
794,20230904,3,5
795,20230904,4,9
796,20230904,5,2
797,20230904,6,2
798,20230904,7,3
799,20230904,8,7
800,20230904,9,8
801,20230904,10,14
802,20230904,11,11
803,20230904,12,9
804,20230904,13,12
805,20230904,14,11
806,20230904,15,12
807,20230904,16,14
808,20230904,17,12
809,20230904,18,14
810,20230904,19,18
811,20230904,20,27
812,20230904,21,26
813,20230904,22,32
814,20230904,23,22
815,20230905,0,21
816,20230905,1,5
817,20230905,2,5
818,20230905,3,3
819,20230905,4,1
820,20230905,5,2
821,20230905,6,3
822,20230905,7,1
823,20230905,8,8
824,20230905,9,7
825,20230905,10,14
826,20230905,11,12
827,20230905,12,11
828,20230905,13,13
829,20230905,14,15
830,20230905,15,6
831,20230905,16,8
832,20230905,17,11
833,20230905,18,12
834,20230905,19,17
835,20230905,20,18
836,20230905,21,21
837,20230905,22,23
838,20230905,23,22
839,20230906,0,9
840,20230906,1,6
841,20230906,2,2
842,20230906,3,8
843,20230906,4,4
844,20230906,5,3
845,20230906,6,7
846,20230906,7,2
847,20230906,8,6
848,20230906,9,5
849,20230906,10,5
850,20230906,11,11
851,20230906,12,15
852,20230906,13,10
853,20230906,14,18
854,20230906,15,14
855,20230906,16,18
856,20230906,17,15
857,20230906,18,23
858,20230906,19,25
859,20230906,20,27
860,20230906,21,27
861,20230906,22,30
862,20230906,23,22
863,20230907,0,13
864,20230907,1,8
865,20230907,2,5
866,20230907,3,6
867,20230907,4,4
868,20230907,5,5
869,20230907,6,2
870,20230907,7,8
871,20230907,8,11
872,20230907,9,10
873,20230907,10,16
874,20230907,11,8
875,20230907,12,10
876,20230907,13,7
877,20230907,14,9
878,20230907,15,17
879,20230907,16,22
880,20230907,17,13
881,20230907,18,8
882,20230907,19,20
883,20230907,20,13
884,20230907,21,26
885,20230907,22,24
886,20230907,23,22
887,20230908,0,6
888,20230908,1,1
889,20230908,3,5
890,20230908,5,3
891,20230908,6,1
892,20230908,7,6
893,20230908,8,14
894,20230908,9,16
895,20230908,10,16
896,20230908,11,15
897,20230908,12,18
898,20230908,13,17
899,20230908,14,17
900,20230908,15,25
901,20230908,16,26
902,20230908,17,23
903,20230908,18,18
904,20230908,19,24
905,20230908,20,31
906,20230908,21,38
907,20230908,22,23
908,20230908,23,25
909,20230909,0,17
910,20230909,1,13
911,20230909,2,11
912,20230909,3,6
913,20230909,4,5
914,20230909,5,7
915,20230909,6,5
916,20230909,7,7
917,20230909,8,10
918,20230909,9,12
919,20230909,10,16
920,20230909,11,17
921,20230909,12,24
922,20230909,13,17
923,20230909,14,21
924,20230909,15,9
925,20230909,16,16
926,20230909,17,18
927,20230909,18,20
928,20230909,19,17
929,20230909,20,26
930,20230909,21,23
931,20230909,22,22
932,20230909,23,21
933,20230910,0,19
934,20230910,1,8
935,20230910,2,8
936,20230910,3,4
937,20230910,4,4
938,20230910,5,2
939,20230910,6,4
940,20230910,7,4
941,20230910,8,7
942,20230910,9,7
943,20230910,10,17
944,20230910,11,13
945,20230910,12,24
946,20230910,13,29
947,20230910,14,13
948,20230910,15,19
949,20230910,16,14
950,20230910,17,24
951,20230910,18,27
952,20230910,19,17
953,20230910,20,38
954,20230910,21,18
955,20230910,22,24
956,20230910,23,25
957,20230911,0,13
958,20230911,1,10
959,20230911,2,1
960,20230911,4,6
961,20230911,5,7
962,20230911,6,2
963,20230911,7,4
964,20230911,8,7
965,20230911,9,13
966,20230911,10,12
967,20230911,11,12
968,20230911,12,8
969,20230911,13,8
970,20230911,14,11
971,20230911,15,8
972,20230911,16,12
973,20230911,17,19
974,20230911,18,15
975,20230911,19,12
976,20230911,20,23
977,20230911,21,32
978,20230911,22,21
979,20230911,23,21
980,20230912,0,18
981,20230912,1,9
982,20230912,2,5
983,20230912,3,5
984,20230912,4,9
985,20230912,5,2
986,20230912,6,2
987,20230912,7,6
988,20230912,8,8
989,20230912,9,7
990,20230912,10,13
991,20230912,11,11
992,20230912,12,9
993,20230912,13,21
994,20230912,14,6
995,20230912,15,9
996,20230912,16,12
997,20230912,17,11
998,20230912,18,18
999,20230912,19,22
1000,20230912,20,18
1001,20230912,21,25
1002,20230912,22,37
1003,20230912,23,18
1004,20230913,0,15
1005,20230913,1,8
1006,20230913,2,9
1007,20230913,3,11
1008,20230913,4,2
1009,20230913,6,5
1010,20230913,7,4
1011,20230913,8,4
1012,20230913,9,10
